Year,Original,Fitted
"2,000",458.768,501.409
"2,001",498.941,496.395
"2,002",498.012,491.381
"2,003",536.66,486.367
"2,004",515.364,481.353
"2,005",474.033,476.339
"2,006",422.792,471.325
"2,007",485.578,480.562
"2,008",455.556,489.799
"2,009",484.8,499.035
"2,010",509.692,508.272
"2,011",523.404,517.509
"2,012",498.672,526.745
"2,013",551.615,535.982
"2,014",583.266,545.219
"2,015",559.076,554.455
"2,016",552.805,563.692
"2,017",530.295,572.929
"2,018",613.736,582.166
"2,019",573.648,591.402
"2,020",590.836,600.639
"2,021",629.435,609.876
