Year,Original,Fitted
"2,000",276.651,285.581
"2,001",285.83,296.727
"2,002",321.304,307.873
"2,003",325.648,319.02
"2,004",364.854,330.166
"2,005",306.392,341.312
"2,006",-26.23,-26.23
"2,007",137.537,32.122
"2,008",130.928,90.473
"2,009",86.716,148.824
"2,010",182.292,164.163
"2,011",233.729,179.502
"2,012",213.826,194.84
"2,013",239.416,210.179
"2,014",229.341,225.518
"2,015",269.943,240.856
"2,016",270.225,256.195
"2,017",223.807,271.534
"2,018",292.197,286.872
"2,019",304.178,302.211
"2,020",311.555,317.55
"2,021",315.206,332.888
