Year,Original,Fitted
"2,000",416.813,426.761
"2,001",436.893,440.171
"2,002",481.46,453.581
"2,003",443.154,466.991
"2,004",507.289,480.401
"2,005",476.107,493.812
"2,006",169.101,169.101
"2,007",311.747,224.015
"2,008",350.166,278.929
"2,009",319.298,333.843
"2,010",342.113,388.757
"2,011",414.62,392.964
"2,012",413.049,397.171
"2,013",361.04,401.378
"2,014",415.685,405.585
"2,015",420.639,409.792
"2,016",436.706,414
"2,017",420.319,418.207
"2,018",415.292,422.414
"2,019",436.029,426.621
"2,020",414.596,430.828
"2,021",442.614,435.036
