Year,Original,Fitted
"2,000",295.652,294.331
"2,001",294.795,304.783
"2,002",335.644,315.235
"2,003",309.547,325.686
"2,004",340.535,336.138
"2,005",294.335,269.886
"2,006",191.408,203.633
"2,007",193.651,220.168
"2,008",251.468,236.703
"2,009",234.414,253.238
"2,010",251.072,269.773
"2,011",316.642,286.307
"2,012",277.998,302.842
"2,013",330.271,319.377
"2,014",313.764,322.889
"2,015",305.584,326.4
"2,016",328.318,329.911
"2,017",285.284,333.422
"2,018",330.364,336.934
"2,019",334.678,340.445
"2,020",348.731,343.956
"2,021",361.702,347.467
