Year,Original,Fitted
"2,000",227.179,212.815
"2,001",204.966,224.255
"2,002",236.426,235.694
"2,003",246.078,247.134
"2,004",263.822,258.574
"2,005",193.102,177.961
"2,006",89.779,97.349
"2,007",155.282,115.507
"2,008",143.19,133.665
"2,009",141.869,151.823
"2,010",165.217,169.981
"2,011",181.498,188.138
"2,012",191.499,206.296
"2,013",261.637,224.454
"2,014",224.086,242.612
"2,015",244.918,247.072
"2,016",264.787,251.532
"2,017",233.253,255.992
"2,018",260.492,260.452
"2,019",258.203,264.912
"2,020",252.121,269.372
"2,021",299.653,273.832
