Year,Original,Fitted
"2,000",287.6,307.056
"2,001",296.012,299.281
"2,002",284.564,291.506
"2,003",307.565,283.731
"2,004",312.364,275.956
"2,005",258.385,268.181
"2,006",240.908,260.406
"2,007",276.398,252.631
"2,008",219.807,244.855
"2,009",252.666,258.922
"2,010",315.417,272.989
"2,011",325.554,287.056
"2,012",355.603,301.123
"2,013",362.22,315.19
"2,014",350.155,329.257
"2,015",314.735,343.324
"2,016",391.745,357.391
"2,017",358.861,371.458
"2,018",380.757,385.525
"2,019",371.388,399.592
"2,020",394.334,413.659
"2,021",416.646,427.726
