Year,Original,Fitted
"2,000",408.37,417.348
"2,001",420.719,423.053
"2,002",433.993,428.757
"2,003",477.704,434.462
"2,004",517.127,440.166
"2,005",444.655,445.871
"2,006",380.313,451.576
"2,007",439.938,457.28
"2,008",413.622,462.985
"2,009",452.149,468.689
"2,010",445.62,474.394
"2,011",453.249,480.099
"2,012",471.748,485.803
"2,013",480.451,491.508
"2,014",492.375,497.212
"2,015",509.534,502.917
"2,016",544.737,508.622
"2,017",486.243,514.326
"2,018",554.167,520.031
"2,019",512.32,525.735
"2,020",540.627,531.44
"2,021",562.321,537.144
