Year,Original,Fitted
"2,000",321.463,321.994
"2,001",331.023,328.203
"2,002",313.265,334.412
"2,003",329.797,340.62
"2,004",375.407,346.829
"2,005",338.18,353.038
"2,006",242.073,242.073
"2,007",348.43,257.393
"2,008",234.934,272.712
"2,009",316.129,288.031
"2,010",346.98,303.35
"2,011",343.262,318.669
"2,012",354.62,333.988
"2,013",382.843,349.307
"2,014",400.437,364.626
"2,015",406.019,379.945
"2,016",399.619,395.264
"2,017",384.767,410.583
"2,018",442.591,425.902
"2,019",414.986,441.221
"2,020",414.777,456.54
"2,021",457.989,471.859
