x,y,crs,id_unique_code,version,province_code,province_name_original,plot
513000.00129493733,4102000.0017251414,23030,04_0867_xx_A3E_xx,ifn3,04,Almeria,0867
502000.0013033194,4101000.0017300085,23030,04_0869_NN_A1_xx,ifn3,04,Almeria,0869
503000.0013025898,4101000.0017296295,23030,04_0870_NN_A3C_xx,ifn3,04,Almeria,0870
503000.0013025898,4101000.0017296295,23030,04_0870_xx_A3E_xx,ifn3,04,Almeria,0870
507000.0012996755,4101000.001728124,23030,04_0872_NN_A1_xx,ifn3,04,Almeria,0872
508000.0012989476,4101000.0017277496,23030,04_0873_NN_A1_xx,ifn3,04,Almeria,0873
509000.0012982201,4101000.0017273743,23030,04_0874_NN_A1_xx,ifn3,04,Almeria,0874
512000.0012960397,4101000.0017262455,23030,04_0876_NN_A3C_xx,ifn3,04,Almeria,0876
512000.0012960397,4101000.0017262455,23030,04_0876_xx_A3E_xx,ifn3,04,Almeria,0876
513000.0012953135,4101000.0017258707,23030,04_0877_NN_A3C_xx,ifn3,04,Almeria,0877
513000.0012953135,4101000.0017258707,23030,04_0877_xx_A3E_xx,ifn3,04,Almeria,0877
502000.0013036965,4100000.0017307377,23030,04_0878_NN_A1_xx,ifn3,04,Almeria,0878
503000.00130296696,4100000.001730361,23030,04_0879_NN_A1_xx,ifn3,04,Almeria,0879
504000.001302238,4100000.001729983,23030,04_0880_NN_A1_xx,ifn3,04,Almeria,0880
506000.0013007804,4100000.001729231,23030,04_0881_NN_A1_xx,ifn3,04,Almeria,0881
507000.0013000523,4100000.0017288546,23030,04_0882_NN_A1_xx,ifn3,04,Almeria,0882
508000.00129932427,4100000.00172848,23030,04_0883_NN_A1_xx,ifn3,04,Almeria,0883
511000.00129714265,4100000.0017273505,23030,04_0884_xx_A4_xx,ifn3,04,Almeria,0884
502000.0013040737,4099000.0017314674,23030,04_0885_NN_A1_xx,ifn3,04,Almeria,0885
503000.00130334415,4099000.0017310893,23030,04_0886_NN_A1_xx,ifn3,04,Almeria,0886
506000.00130115723,4099000.0017299615,23030,04_0887_NN_A1_xx,ifn3,04,Almeria,0887
507000.00130042894,4099000.001729584,23030,04_0888_NN_A1_xx,ifn3,04,Almeria,0888
508000.0012997011,4099000.001729207,23030,04_0889_NN_A1_xx,ifn3,04,Almeria,0889
510000.00129824615,4099000.001728455,23030,04_0890_NN_A1_xx,ifn3,04,Almeria,0890
511000.00129751913,4099000.001728081,23030,04_0891_NN_A3C_xx,ifn3,04,Almeria,0891
511000.00129751913,4099000.001728081,23030,04_0891_xx_A3E_xx,ifn3,04,Almeria,0891
504000.001302992,4098000.001731444,23030,04_0893_NN_A1_xx,ifn3,04,Almeria,0893
507000.001300806,4098000.001730314,23030,04_0894_NN_A1_xx,ifn3,04,Almeria,0894
509000.00129935023,4098000.001729561,23030,04_0896_NN_A1_xx,ifn3,04,Almeria,0896
510000.0012986228,4098000.001729187,23030,04_0897_NN_A1_xx,ifn3,04,Almeria,0897
511000.00129789574,4098000.00172881,23030,04_0898_NN_A3C_xx,ifn3,04,Almeria,0898
511000.00129789574,4098000.00172881,23030,04_0898_xx_A3E_xx,ifn3,04,Almeria,0898
509000.001299727,4097000.001730294,23030,04_0903_NN_A1_xx,ifn3,04,Almeria,0903
510000.00129899953,4097000.001729916,23030,04_0904_xx_A4_xx,ifn3,04,Almeria,0904
507000.00130155997,4096000.001731776,23030,04_0908_NN_A1_xx,ifn3,04,Almeria,0908
510000.00129937625,4096000.0017306474,23030,04_0910_NN_A3C_xx,ifn3,04,Almeria,0910
510000.00129937625,4096000.0017306474,23030,04_0910_xx_A3E_xx,ifn3,04,Almeria,0910
511000.0012986492,4096000.0017302693,23030,04_0911_NN_A3C_xx,ifn3,04,Almeria,0911
511000.0012986492,4096000.0017302693,23030,04_0911_xx_A3E_xx,ifn3,04,Almeria,0911
523000.0012846933,4110000.001715574,23030,04_0918_NN_A1_xx,ifn3,04,Almeria,0918
519000.00128795917,4109000.0017177947,23030,04_0921_xx_A4_xx,ifn3,04,Almeria,0921
520000.0012872359,4109000.0017174217,23030,04_0922_NN_A1_xx,ifn3,04,Almeria,0922
514000.0012919559,4108000.001720394,23030,04_0923_NN_A1_xx,ifn3,04,Almeria,0923
515000.001291231,4108000.0017200196,23030,04_0924_NN_A1_xx,ifn3,04,Almeria,0924
521000.0012868882,4108000.0017177784,23030,04_0925_NN_A1_xx,ifn3,04,Almeria,0925
527000.0012825571,4108000.001715536,23030,04_0926_xx_A4C_xx,ifn3,04,Almeria,0926
515000.00129160663,4107000.0017207474,23030,04_0928_NN_A1_xx,ifn3,04,Almeria,0928
