year,sp_code,elev_code,sp_elev,npp
2011,halepensis,medium,halepensis_medium,725.8000000000001
2011,halepensis,low,halepensis_low,406.6
2011,halepensis,high,halepensis_high,602.4
2011,nigra,low,nigra_low,775.4000000000001
2011,nigra,high,nigra_high,768.7
2011,nigra,medium,nigra_medium,800.4000000000001
2011,pinaster,low,pinaster_low,737.1
2011,pinaster,medium,pinaster_medium,834.6
2011,pinaster,high,pinaster_high,825.4000000000001
2011,sylvestris,low,sylvestris_low,1004.4
2011,sylvestris,medium,sylvestris_medium,884.2
2011,sylvestris,high,sylvestris_high,661.1
2012,halepensis,medium,halepensis_medium,566
2012,halepensis,low,halepensis_low,299
2012,halepensis,high,halepensis_high,457.6
2012,nigra,low,nigra_low,537.5
2012,nigra,high,nigra_high,555
2012,nigra,medium,nigra_medium,552.1
2012,pinaster,low,pinaster_low,538.3000000000001
2012,pinaster,medium,pinaster_medium,603.3000000000001
2012,pinaster,high,pinaster_high,587.3000000000001
2012,sylvestris,low,sylvestris_low,753.2
2012,sylvestris,medium,sylvestris_medium,727.7
2012,sylvestris,high,sylvestris_high,520.4
2013,halepensis,medium,halepensis_medium,760.3000000000001
2013,halepensis,low,halepensis_low,375.1
2013,halepensis,high,halepensis_high,643.1
2013,nigra,low,nigra_low,782.1
2013,nigra,high,nigra_high,821.1
2013,nigra,medium,nigra_medium,815.1
2013,pinaster,low,pinaster_low,788.9000000000001
2013,pinaster,medium,pinaster_medium,896.5
2013,pinaster,high,pinaster_high,846.4000000000001
2013,sylvestris,low,sylvestris_low,1031.8
2013,sylvestris,medium,sylvestris_medium,934.6
2013,sylvestris,high,sylvestris_high,688.8000000000001
2014,halepensis,medium,halepensis_medium,626.1
2014,halepensis,low,halepensis_low,276.8
2014,halepensis,high,halepensis_high,521.9
2014,nigra,low,nigra_low,683.5
2014,nigra,high,nigra_high,733.7
2014,nigra,medium,nigra_medium,723.3000000000001
2014,pinaster,low,pinaster_low,669.9000000000001
2014,pinaster,medium,pinaster_medium,757.5
2014,pinaster,high,pinaster_high,773
2014,sylvestris,low,sylvestris_low,990.1
2014,sylvestris,medium,sylvestris_medium,925.1
2014,sylvestris,high,sylvestris_high,633.1
2015,halepensis,medium,halepensis_medium,589.2
2015,halepensis,low,halepensis_low,207.1
2015,halepensis,high,halepensis_high,449.3
2015,nigra,low,nigra_low,671.1
2015,nigra,high,nigra_high,683.4000000000001
2015,nigra,medium,nigra_medium,670.7
2015,pinaster,low,pinaster_low,619.4000000000001
2015,pinaster,medium,pinaster_medium,695.3000000000001
2015,pinaster,high,pinaster_high,694.3000000000001
2015,sylvestris,low,sylvestris_low,887.7
2015,sylvestris,medium,sylvestris_medium,841.9000000000001
2015,sylvestris,high,sylvestris_high,575.6
2016,halepensis,medium,halepensis_medium,599.9
2016,halepensis,low,halepensis_low,163.5
2016,halepensis,high,halepensis_high,423
2016,nigra,low,nigra_low,649.6
2016,nigra,high,nigra_high,663.5
2016,nigra,medium,nigra_medium,681.7
