"COD_parcela";"nr_arboles"
"1407-A-1";16
"1408-A-1";16
"1411-A-3C";10
"1411-A-3E";1
"1413-A-1";19
"1414-A-1";6
"1416-A-1";35
"1419-A-1";61
"1420-A-1";11
"1421-A-1";37
"1424-A-1";5
"1428-A-3E";13
"1429-A-3C";4
"1429-A-3E";7
"1430-A-1";1
"1431-A-1";43
"1432-A-1";2
"1434-A-1";32
"1436-A-1";26
"1437-A-1";8
"1439-A-1";3
"1441-A-3C";16
"1441-A-3E";39
"1443-A-3C";35
"1443-A-3E";25
"1444-A-1";22
"1445-A-1";3
"1446-A-1";5
"1447-A-1";54
"1448-A-1";5
"145-A-1";11
"1450-A-1";10
"1452-A-1";26
"1453-A-3C";15
"1453-A-3E";31
"1454-A-1";40
"1459-A-1";19
"1460-A-1";33
"1464-A-3C";7
"1467-A-4";3
"1469-A-1";27
"1473-A-3C";15
"1473-A-3E";6
"1474-A-4";4
"1475-A-3C";14
"1476-A-1";12
"1477-A-3C";3
"1477-A-3E";4
"1478-A-4C";3
"1479-A-4C";1
"148-A-1";19
"1481-A-1";13
"1482-A-1";7
"1483-A-1";1
"1484-A-1";2
"1485-A-1";20
"1486-A-1";5
"1488-A-3C";5
"1488-A-3E";8
"1493-A-1";9
"1494-A-1";15
"1495-A-1";11
"1498-A-4";3
"1499-A-1";11
"15-A-1";11
"1500-A-1";17
"1502-A-1";4
"1503-A-1";15
"151-A-1";9
"1511-A-4";6
"1514-A-3C";2
"1514-A-3E";6
"1516-A-1";12
"152-A-1";11
"1522-A-1";12
"1523-A-1";5
"1525-A-1";26
"1527-A-1";19
"1528-A-1";11
"1529-A-3C";6
"1529-A-3E";10
"1531-A-4";9
"1532-A-1";7
"1533-A-4C";11
"1534-A-3C";2
"1534-A-3E";3
"1536-A-1";8
"1537-A-1";12
"1538-A-1";14
"1539-A-3C";14
"1539-A-3E";8
"154-A-1";33
"1540-A-4";3
"1543-A-1";22
"1545-A-3C";8
"1545-A-3E";6
"1546-A-4";1
"1547-A-1";4
"1548-A-1";9
"1549-A-1";16
"155-A-1";6
"1550-A-4";15
"1551-A-1";14
"1552-A-1";23
"1553-A-1";21
"1554-A-1";16
"1555-A-1";12
"1556-A-1";30
"1557-A-4C";2
"1560-A-1";15
"1562-A-1";7
"1564-A-1";3
"1566-A-1";8
"1567-A-1";5
"1568-A-1";14
"1570-A-3C";19
"1570-A-3E";11
"1574-A-1";10
"1575-A-3C";18
"1576-A-3C";27
"1576-A-3E";31
"1578-A-1";25
"1579-A-4";7
"158-A-4C";1
"1580-A-4";9
"1581-A-1";12
"1582-A-1";9
"1583-A-1";20
"1584-A-1";15
"1585-A-1";35
"1586-A-1";8
"1587-A-3C";1
"1589-A-1";9
"1592-A-3C";7
"1592-A-3E";7
"1593-A-1";14
"1595-A-1";33
"1597-A-1";1
"1599-A-1";16
"16-A-1";7
"160-A-1";11
"1600-A-1";12
"1603-A-1";7
"1604-A-1";6
"1608-A-4";3
"1609-A-1";15
"161-A-1";17
"1613-A-1";9
"1615-A-1";12
"1617-A-1";13
"1619-A-1";1
"162-A-1";27
"1620-A-4";6
"1622-A-1";5
"163-A-1";19
"1632-A-1";13
"1633-A-1";7
"1635-A-1";8
"1636-A-1";12
"1644-A-1";9
"1645-A-1";9
"1646-A-1";17
"1647-A-1";11
"1648-A-3C";10
"1648-A-3E";4
"165-A-1";8
"1650-A-1";2
"1653-A-1";29
"1656-A-1";14
"1657-A-1";22
"1658-A-1";9
"166-A-3C";8
"166-A-3E";7
"1662-A-1";7
"1663-A-1";9
"1664-A-1";6
"1665-A-1";7
"1667-A-1";41
"1670-A-3C";13
"1672-A-1";21
"1674-A-1";24
"1675-A-1";14
"1677-A-1";7
"1678-A-1";14
"168-A-3C";5
"1682-A-1";19
"1688-A-3C";15
"1688-A-3E";1
"1689-A-3C";3
"1689-A-3E";16
"169-A-1";48
"1691-A-1";16
"1692-A-1";38
"1694-A-4";2
"1695-A-3C";21
"1696-A-3C";48
"1696-A-3E";2
"1698-A-1";84
"1699-A-1";24
"17-A-1";15
"170-A-1";3
"1701-A-3C";30
"1701-A-3E";41
"1703-A-1";9
"1704-A-1";4
"1705-A-1";12
"1707-A-3C";40
"1707-A-3E";44
"1709-A-1";24
"171-A-3C";6
"171-A-3E";14
"1710-A-1";20
"1711-A-1";29
"1712-A-1";11
"1713-A-3C";12
"1713-A-3E";1
"1719-A-1";20
"1721-A-1";27
"1722-A-4C";1
"1723-A-1";21
"1726-A-1";21
"1736-A-1";4
"1737-A-1";23
"1738-A-4";8
"1744-A-1";11
"1745-A-1";1
"1746-A-1";3
"1748-A-3C";2
"1748-A-3E";5
"1749-A-1";3
"175-A-1";2
"1752-A-1";19
"1756-A-1";7
"1758-A-1";3
"176-A-1";2
"1761-A-1";8
"1764-A-1";8
"1766-A-1";7
"177-A-1";18
"1774-A-1";19
"1776-A-4";34
"178-A-1";51
"1791-A-3C";17
"1792-A-1";25
"1794-A-3C";4
"1796-A-1";16
"18-A-4";7
"180-A-1";7
"1800-A-1";4
"1802-A-1";22
"1806-A-1";2
"181-A-1";24
"1810-A-3C";1
"1810-A-3E";10
"1811-A-3C";3
"1811-A-3E";7
"1812-A-3C";5
"1812-A-3E";4
"1815-A-1";1
"1831-A-3C";11
"1832-A-1";20
"1834-A-1";21
"1837-A-1";6
"1838-A-1";12
"1839-A-1";15
"184-A-1";17
"1841-A-3E";6
"1843-A-1";14
"1844-A-3C";17
"1844-A-3E";31
"1846-A-6C";15
"1848-A-6C";21
"1850-A-6C";35
"1851-A-6C";5
"1852-A-6C";30
"1853-A-6C";21
"1854-A-6C";11
"1855-A-1";34
"1859-A-1";22
