"COD_parcela";"nr_arboles"
"881-A-4C";7
"882-A-1";30
"883-A-1";16
"886-A-1";5
"888-A-4C";8
"889-A-1";16
"89-A-1";28
"890-A-1";11
"891-A-1";18
"892-A-1";18
"893-A-3C";19
"893-A-3E";8
"896-A-1";6
"897-A-1";41
"9-A-1";11
"902-A-1";2
"906-A-1";18
"907-A-1";25
"91-A-1";14
"914-A-1";13
"916-A-1";31
"918-A-1";18
"92-A-1";15
"920-A-4";9
"921-A-1";23
"922-A-1";5
"925-A-1";3
"927-A-4";2
"93-A-4";10
"930-A-3C";8
"930-A-3E";9
"932-A-3E";1
"933-A-1";18
"934-A-4";5
"935-A-1";45
"936-A-1";31
"937-A-1";27
"939-A-1";23
"94-A-1";19
"943-A-4";13
"95-A-1";14
"951-A-4";14
"952-A-1";10
"953-A-1";9
"954-A-1";37
"955-A-1";14
"956-A-1";15
"958-A-1";1
"959-A-1";1
"96-A-1";18
"960-A-1";14
"962-A-1";22
"967-A-1";3
"97-A-1";25
"970-A-1";7
"971-A-1";24
"972-A-4";16
"973-A-1";21
"975-A-4";3
"98-A-1";3
"980-A-1";11
"983-A-1";6
"985-A-3C";13
"985-A-3E";12
"987-A-4C";2
"988-A-4";23
"99-A-1";28
"993-A-1";12
"994-A-1";30
"997-A-1";18
"998-A-1";16
