"Estadillo";"Cla";"Subclase";"CoorX";"Coory"
258;"A";"1";547968;4195974
261;"A";"1";546909;4193981
262;"A";"4C";547999;4194003
263;"A";"1";542920;4192966
264;"A";"1";546859;4192945
265;"A";"1";547915;4192955
266;"A";"1";544933;4190935
267;"A";"4C";545988;4191014
271;"A";"1";544941;4188983
274;"A";"3C";544942;4187965
274;"A";"3E";545000;4188000
280;"A";"4";510000;4170000
282;"A";"4";515000;4187000
283;"A";"1";519903;4187062
284;"A";"1";520991;4187008
285;"A";"1";524976;4186999
287;"A";"1";536983;4186999
288;"A";"1";539009;4187003
289;"A";"1";516964;4186046
290;"A";"1";517940;4186043
294;"A";"4";519000;4185000
296;"A";"1";527987;4185004
300;"A";"1";525941;4183969
301;"A";"1";515934;4183006
302;"A";"1";529020;4183021
303;"A";"1";514976;4181992
305;"A";"1";524980;4181990
306;"A";"1";527994;4181978
307;"A";"1";528989;4181958
308;"A";"1";525982;4180984
309;"A";"1";528002;4181002
310;"A";"1";530014;4180988
311;"A";"1";531012;4180988
312;"A";"1";514968;4180027
313;"A";"1";524992;4179985
314;"A";"1";525978;4179974
315;"A";"1";526986;4180000
316;"A";"1";528988;4179985
317;"A";"1";523986;4178970
318;"A";"1";524980;4178993
320;"A";"1";513981;4178010
324;"A";"1";525971;4176999
327;"A";"1";523997;4175000
328;"A";"1";516000;4173982
330;"A";"1";523990;4173969
331;"A";"1";522984;4172988
333;"A";"1";516008;4171949
335;"A";"1";521007;4171981
336;"A";"1";523006;4171990
337;"A";"1";514990;4171024
338;"A";"1";515991;4170947
339;"A";"4";516982;4171018
340;"A";"1";545020;4175001
341;"A";"1";549000;4175000
342;"A";"1";549007;4173993
343;"A";"1";548007;4172017
345;"A";"4C";548000;4171000
346;"A";"1";550000;4171000
347;"A";"1";551000;4171000
348;"A";"1";552000;4171000
349;"A";"1";543994;4169985
351;"A";"4C";551000;4170000
352;"A";"1";552012;4170002
353;"A";"4C";452000;4159000
356;"A";"1";481983;4150931
357;"A";"3C";482989;4150920
357;"A";"3E";483000;4151000
358;"A";"1";509999;4168982
359;"A";"1";510934;4168005
360;"A";"1";511972;4167957
361;"A";"1";509954;4166982
362;"A";"1";510938;4166994
363;"A";"1";511970;4166994
364;"A";"1";510954;4165010
365;"A";"1";511930;4164967
368;"A";"1";510991;4163951
371;"A";"1";511949;4162971
372;"A";"1";510989;4161954
379;"A";"1";511994;4160950
381;"A";"4";499000;4159992
384;"A";"1";509963;4159974
391;"A";"1";484996;4157993
399;"A";"1";487996;4153980
400;"A";"1";485031;4152995
407;"A";"1";487000;4151000
410;"A";"1";503944;4151008
411;"A";"1";504946;4151002
416;"A";"1";515971;4168012
418;"A";"3C";514947;4167002
418;"A";"3E";515005;4166975
423;"A";"1";514994;4164990
428;"A";"1";517990;4160950
429;"A";"1";515945;4158991
430;"A";"4";540000;4158025
431;"A";"1";542011;4157978
432;"A";"1";540000;4157022
435;"A";"1";540993;4153931
437;"A";"1";538981;4152966
438;"A";"1";539967;4152966
439;"A";"4";541000;4153000
440;"A";"4";542000;4153000
441;"A";"4";540015;4152000
444;"A";"4C";544000;4169000
445;"A";"4";546000;4169000
446;"A";"4";0;0
447;"A";"4";551000;4169000
448;"A";"3C";552014;4168960
448;"A";"3E";552000;4169000
449;"A";"3C";557908;4169034
449;"A";"3E";558000;4169000
451;"A";"1";542947;4168005
452;"A";"1";544077;4167989
453;"A";"1";545085;4167970
454;"A";"1";545990;4167999
457;"A";"1";551013;4167962
458;"A";"1";551991;4167940
459;"A";"1";554001;4168004
460;"A";"1";554993;4168000
461;"A";"1";556000;4168000
462;"A";"4C";558000;4168000
463;"A";"4C";545000;4167000
465;"A";"4";548000;4167000
467;"A";"1";549961;4166991
468;"A";"4";553000;4167000
469;"A";"1";555015;4167006
470;"A";"4";556000;4167000
471;"A";"1";557005;4166996
473;"A";"1";545981;4165977
474;"A";"1";548963;4165966
475;"A";"1";550977;4165986
476;"A";"1";551979;4165991
477;"A";"1";554011;4165967
478;"A";"4";557000;4166000
479;"A";"4C";558000;4166000
480;"A";"4";559000;4166000
481;"A";"4";545000;4165000
483;"A";"4";548000;4165000
484;"A";"1";550009;4164981
487;"A";"4";556000;4165000
488;"A";"4";560000;4165000
489;"A";"4";555000;4160000
491;"A";"3C";550955;4158003
491;"A";"3E";0;0
492;"A";"3C";551958;4157995
492;"A";"3E";552020;4157986
493;"A";"1";552969;4158014
494;"A";"4";554000;4158000
496;"A";"4";552000;4157000
497;"A";"1";555000;4157000
498;"A";"1";553988;4156005
500;"A";"1";542939;4153998
502;"A";"1";549937;4154005
504;"A";"1";554010;4153993
505;"A";"4";556000;4154000
506;"A";"1";544992;4152987
508;"A";"4";547000;4153000
509;"A";"1";549018;4152988
510;"A";"1";549968;4153007
511;"A";"1";552990;4153002
513;"A";"4";546002;4152009
514;"A";"4";546991;4152006
515;"A";"1";547991;4151972
516;"A";"1";543959;4150994
518;"A";"3C";423015;4134999
518;"A";"3E";422922;4134970
519;"A";"1";437981;4149973
524;"A";"1";432982;4147984
525;"A";"1";433937;4147969
526;"A";"1";435991;4147958
529;"A";"1";432000;4146000
530;"A";"1";433000;4146000
532;"A";"1";437988;4146010
534;"A";"1";434990;4145006
535;"A";"1";430970;4143994
536;"A";"1";435989;4143975
538;"A";"4";449000;4144000
539;"A";"1";449939;4144004
540;"A";"4C";450000;4143000
541;"A";"1";428960;4142005
542;"A";"4";443996;4142016
543;"A";"4C";446000;4142000
546;"A";"1";434000;4140000
547;"A";"1";445986;4140029
548;"A";"1";447997;4140018
549;"A";"1";434000;4139000
550;"A";"1";442999;4138993
551;"A";"1";447976;4139002
554;"A";"4";436000;4138000
556;"A";"3C";442975;4138021
556;"A";"3E";0;0
557;"A";"1";434000;4137000
558;"A";"1";432969;4136016
559;"A";"1";433969;4135994
560;"A";"3C";439955;4136031
560;"A";"3E";439985;4135982
562;"A";"1";442973;4136003
564;"A";"1";431941;4135030
565;"A";"1";432979;4135004
567;"A";"4C";443000;4135000
569;"A";"4";433000;4134000
570;"A";"1";434975;4133990
572;"A";"1";440986;4134018
573;"A";"1";451978;4133997
577;"A";"1";452995;4133000
580;"A";"1";455004;4146014
583;"A";"1";458975;4140001
584;"A";"1";460000;4140000
585;"A";"3C";457016;4138990
585;"A";"3E";0;0
586;"A";"1";468984;4138939
