"COD_parcela";"Especie";"nr_arboles"
"1187-A-1";"26";20
"1187-A-1";"45";2
"1188-A-1";"24";11
"1188-A-1";"26";10
"1188-A-1";NA;6
"1189-A-1";"24";20
"119-A-1";"45";5
"1191-A-4";"24";3
"1191-A-4";"26";8
"1193-A-1";"24";36
"1193-A-1";NA;6
"1196-A-1";"24";9
"1197-A-1";"24";8
"1197-A-1";"26";2
"12-A-1";"25";13
"12-A-1";"45";3
"120-A-1";"24";22
"120-A-1";"45";3
"1200-A-3C";"24";18
"1200-A-3C";"25";1
"1200-A-3C";"26";2
"1200-A-3E";"25";2
"1200-A-3E";"26";1
"1201-A-1";"25";7
"1201-A-1";"26";2
"1202-A-4";"26";8
"1203-A-1";"45";6
"1204-A-1";"24";9
"1205-A-4C";"24";16
"1206-A-1";"24";11
"1207-A-1";"24";42
"1207-A-1";"25";11
"1207-A-1";"26";3
"1208-A-1";"45";10
"121-A-1";"24";6
"121-A-1";"45";1
"1211-A-1";"26";7
"1214-A-1";"24";11
"1216-A-1";"26";17
"1219-A-1";"21";30
"122-A-3C";"24";9
"122-A-3C";"25";4
"1220-A-1";"21";36
"1220-A-1";"25";6
"1220-A-1";"26";24
"1221-A-1";"24";6
"1221-A-1";"45";8
"1222-A-1";"44";6
"1222-A-1";"45";1
"1222-A-1";"55";7
"1222-A-1";"95";1
"1223-A-1";"21";2
"1223-A-1";"25";8
"1223-A-1";"45";3
"1224-A-3C";"25";14
"1224-A-3C";"26";12
"1225-A-1";"45";13
"1226-A-1";"45";5
"1228-A-1";"21";23
"1228-A-1";"29";2
"1229-A-1";"21";1
"1229-A-1";"25";22
"1229-A-1";"26";29
"123-A-1";"24";15
"123-A-1";"25";1
"1230-A-1";"25";8
"1230-A-1";"26";6
"1231-A-4";"43";1
"1232-A-3C";"43";17
"1232-A-3E";"43";16
"1233-A-1";"13";1
"1233-A-1";"45";1
"1233-A-1";"72";1
"1233-A-1";"93";3
"1233-A-1";"95";1
"1234-A-4";"55";4
"1234-A-4";"215";2
"1236-A-1";"21";45
"1236-A-1";"25";7
"1237-A-3C";"21";21
"1237-A-3C";"25";13
"1237-A-3E";"26";49
"1238-A-1";"21";2
"1239-A-1";"21";4
"1240-A-1";"21";26
"1241-A-4";"45";1
"1241-A-4";"657";1
"1244-A-1";"25";1
"1244-A-1";"26";43
"1245-A-3C";"25";1
"1245-A-3C";"26";4
"1245-A-3E";"21";3
"1245-A-3E";"25";2
"1245-A-3E";"26";7
"1245-A-3E";"45";3
"1245-A-3E";"93";1
"1246-A-1";"45";2
"1247-A-3C";"45";15
"1247-A-3E";"476";2
"1249-A-1";"25";2
"1249-A-1";"26";22
"125-A-1";"24";12
"125-A-1";"25";2
"1252-A-1";"43";35
"1253-A-1";"25";11
"1253-A-1";"45";18
"1253-A-1";NA;2
"1254-A-1";"21";1
"1256-A-1";"45";13
"126-A-4";"25";1
"1260-A-1";"21";6
"1260-A-1";"25";6
"1263-A-1";"43";2
"1264-A-1";"476";4
"1265-A-4";"21";3
"1268-A-1";"26";3
"1269-A-1";"26";13
"1270-A-1";"26";17
"1271-A-1";"26";3
"1271-A-1";"45";3
"1272-A-3C";"26";20
"1272-A-3E";"25";1
"1272-A-3E";"26";1
"1276-A-1";"21";3
"1279-A-1";"26";9
"1280-A-1";"21";19
"1280-A-1";"25";24
"1285-A-4";"43";21
"1288-A-1";"26";14
"1289-A-1";"21";33
"1290-A-1";"21";7
"1298-A-1";"45";12
"1299-A-1";"21";19
"1299-A-1";"22";28
"13-A-1";"25";9
"13-A-1";"45";20
"13-A-1";NA;2
"1302-A-1";"26";20
"1302-A-1";"45";2
"1303-A-4";"26";17
"1305-A-1";"26";9
"1305-A-1";NA;9
"1306-A-1";"26";27
"1307-A-1";"26";1
"1307-A-1";"45";5
"1309-A-1";"26";25
"1309-A-1";NA;11
"1310-A-4";"17";2
"1310-A-4";"26";9
"1310-A-4";"29";12
"1310-A-4";"45";3
"1311-A-1";"26";26
"1311-A-1";NA;15
"1312-A-1";"26";5
"1312-A-1";"45";1
"1312-A-1";NA;2
"1313-A-1";"26";7
"1313-A-1";"45";3
"1314-A-1";"21";6
"1315-A-1";"26";30
"1315-A-1";NA;3
"1316-A-1";"21";1
"1316-A-1";"26";8
"1316-A-1";"45";3
"1318-A-1";"25";1
"1318-A-1";"45";1
"1319-A-1";"24";1
"1319-A-1";"26";1
"1319-A-1";"45";1
"132-A-1";"25";7
"1320-A-1";"25";17
"1321-A-3C";"21";19
"1321-A-3C";"25";2
"1321-A-3C";"26";12
"1321-A-3E";"25";2
"1321-A-3E";"26";8
"1322-A-1";"45";1
"1323-A-3C";"26";10
"1323-A-3E";"26";1
"1324-A-1";"21";1
"1324-A-1";"25";9
"1324-A-1";"45";3
"1325-A-1";"26";39
"1326-A-3C";"26";7
"1326-A-3C";"45";3
"1326-A-3E";"26";14
"1327-A-3C";"25";34
"1327-A-3C";"26";1
"1327-A-3E";"25";10
"1327-A-3E";"26";1
"1327-A-3E";"45";11
"1328-A-3C";"21";24
"1328-A-3C";"25";15
"1328-A-3E";"21";40
"1329-A-1";"26";7
"1329-A-1";"45";1
"1330-A-3C";"26";25
"1330-A-3E";"45";1
"1331-A-4";"26";10
"1331-A-4";"29";8
"1332-A-1";"26";31
"1333-A-1";"25";4
"1333-A-1";"26";45
"1334-A-1";"26";28
"1335-A-4";"21";19
"1335-A-4";"25";8
"1335-A-4";"26";9
"1336-A-1";"45";8
"1336-A-1";NA;2
"1338-A-1";"25";1
"1338-A-1";"26";38
"1339-A-1";"25";19
"1339-A-1";NA;4
"134-A-1";"25";8
"134-A-1";"45";1
"1340-A-1";"21";1
"1340-A-1";"26";20
"1341-A-1";"21";3
"1341-A-1";"26";18
"1342-A-1";"25";48
"1343-A-4C";"21";7
"1343-A-4C";"26";19
"1343-A-4C";"45";1
"1344-A-1";"45";2
"1344-A-1";NA;1
"1345-A-1";"21";7
"1345-A-1";"26";7
"1345-A-1";"45";1
"1346-A-3C";"25";9
"1346-A-3C";"26";17
